_RAJ2000;_DEJ2000;;_1;HD;RAJ2000;DEJ2000;Vmag;B-V;SpType
009.9913;-33.9617;999.0000;+99.0000;  3735;00 39 57.9;-33 57 42; 6.69; 0.51;  F8V
009.9667;-44.7967;999.0000;+99.0000;  3750;00 39 52.0;-44 47 48; 6.01; 1.14;  K1IIICNII
010.1192;-16.5169;999.0000;+99.0000;  3794;00 40 28.6;-16 31 01; 6.49; 0.92;  G5
010.1371;-23.8044;999.0000;+99.0000;  3795;00 40 32.9;-23 48 16; 6.14; 0.70;  G3V
010.1767; -4.3519;999.0000;+99.0000;  3807;00 40 42.4;-04 21 07; 5.91; 1.10;  K0III
010.2800;+39.4586;999.0000;+99.0000;  3817;00 41 07.2;+39 27 31; 5.33; 0.89;  G8III
010.1100;-59.4544;999.0000;+99.0000;  3823;00 40 26.4;-59 27 16; 5.89; 0.55;  G1V
010.5142;+66.1475;999.0000;+99.0000;  3856;00 42 03.4;+66 08 51; 5.83; 1.04;  G9III-IV
010.4000;+24.6292;999.0000;+99.0000;  3883;00 41 36.0;+24 37 45; 6.04; 0.26;  A7m
010.5162;+50.5125;999.0000;+99.0000;  3901;00 42 03.9;+50 30 45; 4.80;-0.11;  B2V
010.3317;-46.0850;999.0000;+99.0000;  3919;00 41 19.6;-46 05 06; 4.59; 0.97;  G8III
010.6296;+58.7533;999.0000;+99.0000;  3924;00 42 31.1;+58 45 12; 6.17;-0.01;  B9.5III
        ;        ;        ;        ;      ;          ;         ;     ;     ;
010.4433;-56.5017;999.0000;+99.0000;  3980;00 41 46.4;-56 30 06; 5.70; 0.20;  ApSrEuCr
010.8671;+47.0247;999.0000;+99.0000;  4058;00 43 28.1;+47 01 29; 4.94; 0.18;  A5V
010.6787;-38.4633;999.0000;+99.0000;  4065;00 42 42.9;-38 27 48; 6.06;-0.03;  A0V
010.6742;-60.2625;999.0000;+99.0000;  4088;00 42 41.8;-60 15 45; 5.98; 1.32;  K5III
010.6183;-65.4681;999.0000;+99.0000;  4089;00 42 28.4;-65 28 05; 5.39; 0.50;  F6V
010.8975;-17.9867;999.0000;+99.0000;  4128;00 43 35.4;-17 59 12; 2.04; 1.02;  G9.5IIICH-1
011.1100;+47.8642;999.0000;+99.0000;  4142;00 44 26.4;+47 51 51; 5.67;-0.12;  B5V
010.9592;-12.0117;999.0000;+99.0000;  4145;00 43 50.2;-12 00 42; 6.02; 1.10;  K2III-IV
010.8383;-57.4631;999.0000;+99.0000;  4150;00 43 21.2;-57 27 47; 4.36; 0.00;  A0IV
011.4125;+74.9881;999.0000;+99.0000;  4161;00 45 39.0;+74 59 17; 5.66; 0.05;  A2IV
011.1812;+48.2844;999.0000;+99.0000;  4180;00 44 43.5;+48 17 04; 4.54;-0.07;  B5IIIe
011.0475;-10.6094;999.0000;+99.0000;  4188;00 44 11.4;-10 36 34; 4.76; 1.01;  K0III
011.0504;-38.4217;999.0000;+99.0000;  4211;00 44 12.1;-38 25 18; 5.90; 1.16;  K1III
011.3217;+55.2217;999.0000;+99.0000;  4222;00 45 17.2;+55 13 18; 5.42; 0.04;  A2V s
011.1850;-22.0061;999.0000;+99.0000;  4247;00 44 44.4;-22 00 22; 5.24; 0.33;  F1III-IV
011.2379;-42.6767;999.0000;+99.0000;  4293;00 44 57.1;-42 40 36; 5.94; 0.28;  F0V
011.1346;-62.4978;999.0000;+99.0000;  4294;00 44 32.3;-62 29 52; 6.07; 0.44;  F5III-IV
011.6625;+69.3250;999.0000;+99.0000;  4295;00 46 39.0;+69 19 30; 6.33;     ;  F3V
011.3504; -4.6292;999.0000;+99.0000;  4301;00 45 24.1;-04 37 45; 6.15; 1.62;  M0III
011.2500;-53.7150;999.0000;+99.0000;  4304;00 45 00.0;-53 42 54; 6.15; 0.53;  F7III
011.3696;-12.8808;999.0000;+99.0000;  4307;00 45 28.7;-12 52 51; 6.15; 0.61;  G0V
011.5629;+55.3053;999.0000;+99.0000;  4321;00 46 15.1;+55 18 19; 6.52;     ;  A2III
011.5454;+44.8614;999.0000;+99.0000;  4335;00 46 10.9;+44 51 41; 6.05;-0.07;  B9.5IIIpHgMnCr
011.4237;-16.4242;999.0000;+99.0000;  4338;00 45 41.7;-16 25 27; 6.47; 0.31;  F1IVn
011.6767;+59.5744;999.0000;+99.0000;  4362;00 46 42.4;+59 34 28; 6.39; 1.09;  G0Ib
011.9421;+74.8475;999.0000;+99.0000;  4382;00 47 46.1;+74 50 51; 5.41;-0.08;  B8III
011.4400;-47.5517;999.0000;+99.0000;  4391;00 45 45.6;-47 33 06; 5.80; 0.64;  G1V
011.5492;-22.5219;999.0000;+99.0000;  4398;00 46 11.8;-22 31 19; 5.50; 0.98;  G3V
011.6375;+15.4756;999.0000;+99.0000;  4408;00 46 33.0;+15 28 32; 5.38; 1.65;  M4IIIa
012.0379;+72.6750;999.0000;+99.0000;  4440;00 48 09.1;+72 40 30; 5.87; 1.01;  K0IV
011.7562;+11.9739;999.0000;+99.0000;  4482;00 47 01.5;+11 58 26; 5.50; 0.97;  G8II
011.8067;+19.5789;999.0000;+99.0000;  4490;00 47 13.6;+19 34 44; 6.13; 0.27;  F0Vn
011.8346;+24.2672;999.0000;+99.0000;  4502;00 47 20.3;+24 16 02; 4.06; 1.12;  K1IIe
011.8483; +6.7408;999.0000;+99.0000;  4526;00 47 23.6;+06 44 27; 5.99; 0.94;  G8III
011.9783;+20.9253;999.0000;+99.0000;  4568;00 47 54.8;+20 55 31; 6.54; 0.50;  F8V
011.9304;-18.0614;999.0000;+99.0000;  4585;00 47 43.3;-18 03 41; 5.70; 1.30;  K3III
