Experiment	Energy	Bin	Flux	Item	Error	ErrorStat	ErrorSyst	phi	Flux_min	Flux_max
AMS01ST	1.13E+00	-	2.33E+01	electron	7.59E+00	2.44E+00	5.15E+00	555	1.57E+01	3.09E+01
AMS01ST	1.39E+00	-	1.90E+01	electron	6.59E+00	2.38E+00	4.21E+00	555	1.24E+01	2.56E+01
AMS01ST	1.69E+00	-	1.46E+01	electron	4.47E+00	1.24E+00	3.23	555	1.01E+01	1.91E+01
AMS01ST	2.08E+00	-	1.07E+01	electron	3.41E+00	1.33E+00	2.08	555	7.29E+00	1.41E+01
AMS01ST	2.53E+00	-	7.83E+00	electron	2.34E+00	8.23E-01	1.52E+00	555	5.49E+00	1.02E+01
AMS01ST	3.12E+00	-	3.93E+00	electron	1.28E+00	4.14E-01	8.70E-01	555	2.65E+00	5.21E+00
AMS01ST	3.80E+00	-	2.82E+00	electron	8.44E-01	2.96E-01	5.48E-01	555	1.98E+00	3.66E+00
AMS01ST	4.68E+00	-	1.62E+00	electron	4.84E-01	1.70E-01	3.14E-01	555	1.14E+00	2.10E+00
AMS01ST	5.73E+00	-	9.71E-01	electron	3.24E-01	8.26E-02	2.41E-01	555	6.47E-01	1.30E+00
AMS01ST	7.02E+00	-	4.99E-01	electron	1.52E-01	4.23E-02	1.10E-01	555	3.47E-01	6.51E-01
AMS01ST	8.59E+00	-	2.86E-01	electron	9.34E-02	3.01E-02	6.33E-02	555	1.93E-01	3.79E-01
AMS01ST	1.05E+01	-	1.47E-01	electron	4.79E-02	1.54E-02	3.25E-02	555	9.91E-02	1.95E-01
AMS01ST	1.29E+01	-	7.22E-02	electron	2.36E-02	7.59E-03	1.60E-02	555	4.86E-02	9.58E-02
AMS01ST	1.58E+01	-	3.63E-02	electron	1.25E-02	4.52E-03	8.02E-03	555	2.38E-02	4.88E-02
AMS01ST	1.93E+01	-	1.59E-02	electron	4.89E-03	1.36E-03	3.53E-03	555	1.10E-02	2.08E-02
AMS01ST	2.38E+01	-	1.02E-02	electron	3.73E-03	1.47E-03	2.26E-03	555	6.47E-03	1.39E-02
AMS01ST	2.90E+01	-	4.91E-03	electron	2.34E-03	9.78E-04	1.36E-03	555	2.57E-03	7.25E-03
AMS01ST	3.57E+01	-	2.31E-03	electron	1.91E-03	9.23E-04	9.85E-04	555	4.00E-04	4.22E-03
